date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:42:58	3313/3313	---M-Z	200	added ('OK')	image/svg+xml	etag:%22cf1-6515999b-bc80b3ca16164137;gz%22	https://ppc5g.com/images/technology/gitlab-ci-cd-logo.svg	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/technology/gitlab-ci-cd-logo.svg	(from https://ppc5g.com/index.php)
10:42:58	14656/14656	---M-Z	200	added ('OK')	image/svg+xml	etag:%223940-6515999b-327483f5e836d2c7;gz%22	https://ppc5g.com/images/technology/gitlab.svg	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/technology/gitlab.svg	(from https://ppc5g.com/index.php)
10:42:59	2751/2751	---M-Z	200	added ('OK')	image/svg+xml	etag:%22abf-651599a2-42f347d90056b969;gz%22	https://ppc5g.com/images/technology/teamcity.svg	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/technology/teamcity.svg	(from https://ppc5g.com/index.php)
10:42:59	1177/1177	---M-Z	200	added ('OK')	image/svg+xml	etag:%22499-651599a4-7cee2a98eed18113;gz%22	https://ppc5g.com/images/technology/zabbix-logo.svg	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/technology/zabbix-logo.svg	(from https://ppc5g.com/index.php)
10:43:00	6309/6309	---M-Z	200	added ('OK')	image/svg+xml	etag:%2218a5-6515999e-ad363e5aa2b7d6d;gz%22	https://ppc5g.com/images/technology/nagios-logo.svg	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/technology/nagios-logo.svg	(from https://ppc5g.com/index.php)
10:43:00	5502/5502	---M-Z	200	added ('OK')	image/svg+xml	etag:%22157e-6515999b-c57366a0b91efc8f;gz%22	https://ppc5g.com/images/technology/elasticsearch.svg	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/technology/elasticsearch.svg	(from https://ppc5g.com/index.php)
10:43:00	2942/2942	---M-Z	200	added ('OK')	image/svg+xml	etag:%22b7e-6515999f-e3faf979bc2433f;gz%22	https://ppc5g.com/images/technology/prometheus-logo.svg	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/technology/prometheus-logo.svg	(from https://ppc5g.com/index.php)
10:43:01	4739/4739	---M-Z	200	added ('OK')	image/svg+xml	etag:%221283-6515999c-8750ab7ae0516bf8;gz%22	https://ppc5g.com/images/technology/grafana-logo.svg	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/technology/grafana-logo.svg	(from https://ppc5g.com/index.php)
10:43:01	3932/3932	---M-Z	200	added ('OK')	image/svg+xml	etag:%22f5c-6515999a-457931181f9a741c;gz%22	https://ppc5g.com/images/technology/datadog-logo.svg	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/technology/datadog-logo.svg	(from https://ppc5g.com/index.php)
10:43:01	5394/5394	---M-Z	200	added ('OK')	image/svg+xml	etag:%221512-651599a1-f80e0c2b9668ae94;gz%22	https://ppc5g.com/images/technology/selenium.svg	D:/Users/Himanshu/ppc%20adds/ppc5g.com/images/technology/selenium.svg	(from https://ppc5g.com/index.php)
